"Смартфон HONOR 30i 4/128 ГБ, Dual nano SIM, midnight black",6590,https://market.yandex.ru/product/676859009?offerid=_8ObiHkf4YYocGn8nj5L_w&sku=100992157730&cpc=vcwUlRONgjFc8EouzJRKMVbwmijPjWbCSw5l3aMiwo_q5Q_awyCtZJDz_ydBbTR2Vmlw130tipAvJcCOlnYvYxnBvu5l6gc1y-4SYzjZlwFY7DyMrFgq23kQuIyC3-4mozjUMvVnpd86gj0XMsD8UVUpe5Rz_asmHI3DvGQVEozQ2Ho8lwRc_1i0kSNuUuMN6pr-1OrIz3Q&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>HONOR,4.4,320
"Itel it5026, 2 SIM, голубой",700,https://market.yandex.ru/product/781047095?offerid=jcQuiJ5vWwFKcWnx1Bv8_Q&sku=101130320977&cpc=vcwUlRONgjF9ZR0Bs7q5udiF0mkvmspGOHxHqFvTbJcfvX3-H0wKo47TZdvIu0I9dE3OdiByooJ9nUlU1OK_srQJ0afEKaNgJwYJEpdKb6xFKDR5Js9yHu3HyHowamyenU0FK4pqQ8kAN8xfmLOcCI4tPJGjbKlZ78rsXxvkD-Cx1WaUkhWoOCP_8-O0GEHLIx1of89XR-8&resale_goods=resale_resale&resale_goods_condition=resale_perfect,2,Электроника>Смартфоны и гаджеты>Смартфоны>Itel,4.5,15
"Смартфон Xiaomi Redmi 9A 2/32 ГБ RU, Dual nano SIM, зеленая аврора",3690,https://market.yandex.ru/product/670614000?offerid=Hhbt80rukAplwfLkVtwG3A&sku=101822427142&cpc=vcwUlRONgjHeJpJUTg1Nk6LdjoRgn8WHfBAins2prjZsStPf62Du0nEZEaSN8vxWmBXHWoMKWuDP-dbAb1OifqlC5jlL-lS-OVIoyFYixodxw8X1ulRCE0Bv8nf-Fbo2h1B0l2F9kwGN_lXiyol4JNWvy2D9gzZP07YNSG2jAd74qHbApg0UZUQdf_ElM36AY808lDHN8s9E_weQuaWYbA4jTjlzL3LflqbmPZmNRiRvPZDSuqYqjNxxwMm4lXPHTNhndyHEc9MoQXjPDL6gpw&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.5,3748
Смартфон Apple iPhone 12 Pro Max,68190,https://market.yandex.ru/product/722977016?hid=91491&nid=34512430&resale_goods=resale_resale,2,Электроника>Смартфоны и гаджеты>Смартфоны>Apple,4.5,1033
"Телефон VERTEX D514 1/8 ГБ, 2 micro SIM, серебристый",990,https://market.yandex.ru/product/1713239493?offerid=62yo1BcTLb9NAyVRzhgacA&sku=100515356288&cpc=vcwUlRONgjFltvVycR-mevrxSOZa1lvzK-PIlKFCk3q5hZzdcrkMY25RkZqzSQDCWc2tCEHHsBUhSvjLTMml0f_qUg7pNivim3jpSdl3_vRMdPfkn9gIn-7ZV5cS8W_yx4KStBZpWTKkui05v9faQO9B-p0tYPvPWoT_M9yJ9Uz_POQSFTSWhHRArsgdPqAJLSNmjtdJaPk,230,Электроника>Смартфоны и гаджеты>Смартфоны>VERTEX,4.2,57
"Телефон OLMIO C18, 2 SIM, черный",1788,https://market.yandex.ru/product/1468100436?offerid=JCUZgOtCtSqu3FiJ6WPhCQ&sku=101485639772&cpc=vcwUlRONgjG9ffj6hhvG8ezeXvXcJdrPimXKpKrq6cOGLl_QfIN3Bm7qhN0uWxyX2c-0mtzPsfEof2Nnly3o7qaZMVl7qA_nFeH3ToVPcedHlVnAXnxSHu9GtyC2zuU42BKE--zr1MtuxInb_2kcLN1A6miRGMNYn2MgoxQTpGQ5VIf1vtkJ8yknSc0k-GyoyIODrRPB9V_6iqsRJzdytVTqVnIJn7TL9HWh4oj43CBznzY23TeKg40DSl5H6BmK18N-jMJyWuOLkINMPU-zrg,46,Электроника>Смартфоны и гаджеты>Смартфоны>OLMIO,4.2,15
"Смартфон VERTEX Impress Luck 1/8 ГБ, 2 SIM, графит",1690,https://market.yandex.ru/product/1728352921?offerid=3OlXxHoWkNzdFIMpAnz6XA&sku=100411271764&cpc=vcwUlRONgjFIrGKqBvs4KVwsJQ5hNP4IViqabRK6hIVrKS7ao-KLAV1b5_mYFeW99kEeQ-z4vXI1u97hwgYpEiPJ4JjNOojgaJvXvG_0XAiAgaqqhHbHaghRRTXp7MEGb-kJz6B5upb3Yw-b3C8jG00SX5hPr8JY1KNspGRccAPkU-Mxvx788OoFHl43d9Es9CI-2nrF0FjeyidOzAlxk7vgjyIAhJvqVvcsOCOHYKWNbbG_e8-83BwCc8OW3i_khwhZoEYke1RDJrPiOvuE3w&resale_goods=resale_resale&resale_goods_condition=resale_well,1,Электроника>Смартфоны и гаджеты>Смартфоны>VERTEX,3.7,138
"Смартфон Xiaomi Redmi 10C 3/64 ГБ RU, Dual nano SIM, зеленая мята",7900,https://market.yandex.ru/product/1749529380?offerid=29vm-tL8exhr4GcGgK6_Zg&sku=101800632084&cpc=vcwUlRONgjFl19UUB0CFUPQqt5b14va647y1QrUCnfCXiYNlzNLP7hkRKIu1QNeFtRyzhCqYUNov-bojA-o0L5OIZ0aVzYMb5mYk9irzBhLdJbGxCtG7rsgaDzCIbAC06n9i3r1yc4_1D8lryVOpxt3gTvtP7Dioj7c0WGP-VeH0vIloXErZlnwj0blxGEuNKlbsa_Kd9h69zZ8HTgKp_Mj_gKJHfWmW0QeQ1mGmHF_j6bznAGpg60mt2gnJq3LzsUC-VWPVwUwTNyD-gFl_-A&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.8,2129
"F+ R280C, 2 SIM, черно-оранжевый",3629,https://market.yandex.ru/product/854139118?offerid=WYunPnAao7iyuHjDXkD2dQ&sku=101204174919&cpc=vcwUlRONgjFaILEWh10eQEH5aUw1w0sqJjNejP2_dAeFSij6096Ori_BQjrxLZrjzeMQ0C2qobU8CFQgfuQeuBW2AsEK58y79Z9AKeRqF6pd_cWFEY6KGuixjhZlbJapVdd-FYlcCM2665Sv1CBLr3sNw7d5Qzk6clnPGYJ-KlvE6nopDKRRDYo_7naIWhwrLalIbCZ2SkY,1,Электроника>Смартфоны и гаджеты>Смартфоны>F+,4.6,53
"Смартфон Xiaomi POCO C40 4/64 ГБ RU, Dual nano SIM, заряженный черный",10875,https://market.yandex.ru/product/1756850794?offerid=Gvkt4S4dCTAF5c0UcBBKAQ&sku=101793055760&cpc=vcwUlRONgjE-0U_ZjHYmNe5P4jZ8UFqeCIy_xMDT6LSxV8k_bHL7Y8c8niLGboE426AdKGhoInGvrHPTrd0MVs7JruYJv8A9ThuY_G6w-BSKpR8gqqeiSV2B_ijR3Pkq1PvrySCdxilIKmA2auAUB0DE5WCgDPIMpMr3FOD80b7rVuGpb6XLcaaN467G7w0_nd85lF8uluE,0,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.6,1807
